Family	Mapped	Family_name	Genes	Molecular_function	Bio_process	Cell_component	Protein_class	Interpro
PTHR33280:SF4	VIBCH|EnsemblGenome=VC_0878|UniProtKB=Q9KTM4	50S RIBOSOMAL PROTEIN L31 TYPE B	6					
PTHR21343:SF1	VIBCH|EnsemblGenome=VC_A0727|UniProtKB=Q9KLL6	SUBFAMILY NOT NAMED	26					
PTHR30477:SF13	VIBCH|EnsemblGenome=VC_2083|UniProtKB=Q9KQB7	HIGH-AFFINITY ZINC UPTAKE SYSTEM MEMBRANE PROTEIN ZNUB	18		response to metal ion(GO:0010038)	plasma membrane(GO:0005886)		
PTHR42924:SF3	VIBCH|EnsemblGenome=VC_1177|UniProtKB=Q9KSS9	EXPRESSED PROTEIN	78	"5'-3' exonuclease activity(GO:0008409);deoxyribonuclease activity(GO:0004536);exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters(GO:0016796);ribonuclease activity(GO:0004540)"	"RNA phosphodiester bond hydrolysis, exonucleolytic(GO:0090503)"		DNA-directed DNA polymerase(PC00018)	
PTHR23090:SF7	VIBCH|EnsemblGenome=VC_A0207|UniProtKB=Q9KMW1	NH(3)-DEPENDENT NAD(+) SYNTHETASE	12	ligase activity(GO:0016874)	coenzyme biosynthetic process(GO:0009108);nucleotide biosynthetic process(GO:0009165);organonitrogen compound biosynthetic process(GO:1901566)	cytoplasm(GO:0005737)	ligase(PC00142)	
PTHR24031:SF544	"VIBCH|EnsemblGenome=VC_A0768|UniProtKB=Q9KLH6,VIBCH|EnsemblGenome=VC_A0204|UniProtKB=Q9KMW4"	DEAD (ASP-GLU-ALA-ASP) BOX HELICASE 3A-RELATED	126					
PTHR38761:SF1	VIBCH|EnsemblGenome=VC_0556|UniProtKB=Q9KUG5	GLUTAMATE--CYSTEINE LIGASE	8	ligase activity(GO:0016874);metal ion binding(GO:0046872)	cofactor biosynthetic process(GO:0051188);glutathione metabolic process(GO:0006749);peptide biosynthetic process(GO:0043043)	cytosol(GO:0005829)		
PTHR10359:SF18	VIBCH|EnsemblGenome=VC_1011|UniProtKB=Q9KT92	ENDONUCLEASE III	35	"catalytic activity, acting on DNA(GO:0140097);hydrolase activity(GO:0016787)"	base-excision repair(GO:0006284)			
PTHR33175:SF5	VIBCH|EnsemblGenome=VC_1914|UniProtKB=Q9KQT4	INTEGRATION HOST FACTOR SUBUNIT BETA	14	DNA binding(GO:0003677)		cytosol(GO:0005829)	transcription factor(PC00218)	
PTHR43419:SF8	VIBCH|EnsemblGenome=VC_1743|UniProtKB=Q9KR99	THREONINE AMMONIA-LYASE	74	lyase activity(GO:0016829)	cellular amino acid catabolic process(GO:0009063)		deaminase(PC00088);dehydratase(PC00091);epimerase/racemase(PC00096)	
PTHR30529:SF7	VIBCH|EnsemblGenome=VC_A0249|UniProtKB=Q9KMS1	SUBFAMILY NOT NAMED	5					
PTHR37625:SF4	VIBCH|EnsemblGenome=VC_A0113|UniProtKB=Q9KN52	SUBFAMILY NOT NAMED	8					
PTHR30532:SF1	VIBCH|EnsemblGenome=VC_0202|UniProtKB=Q9KVE4	FE(3+) DICITRATE-BINDING PERIPLASMIC PROTEIN-RELATED	20			outer membrane-bounded periplasmic space(GO:0030288);plasma membrane(GO:0005886)		
PTHR42743:SF3	VIBCH|EnsemblGenome=VC_0029|UniProtKB=Q9KVV9	BRANCHED-CHAIN-AMINO-ACID AMINOTRANSFERASE-LIKE PROTEIN 2	81	transferase activity(GO:0016740)		cytosol(GO:0005829)	transaminase(PC00216)	
PTHR12220:SF13	VIBCH|EnsemblGenome=VC_2589|UniProtKB=Q9KNZ1	"39S RIBOSOMAL PROTEIN L16, MITOCHONDRIAL"	111	rRNA binding(GO:0019843);structural constituent of ribosome(GO:0003735)			ribosomal protein(PC00202)	
PTHR32071:SF89	"VIBCH|EnsemblGenome=VC_1926|UniProtKB=Q9KQS2,VIBCH|EnsemblGenome=VC_A0142|UniProtKB=Q9KN24"	SUBFAMILY NOT NAMED	7				homeodomain transcription factor(PC00119)	
PTHR38767:SF1	VIBCH|EnsemblGenome=VC_2502|UniProtKB=Q9KP74	DNA POLYMERASE III SUBUNIT CHI	10		DNA biosynthetic process(GO:0071897);DNA replication initiation(GO:0006270);positive regulation of DNA replication(GO:0045740);regulation of DNA-dependent DNA replication(GO:0090329)	DNA polymerase complex(GO:0042575)		
PTHR24960:SF63	VIBCH|EnsemblGenome=VC_0716|UniProtKB=Q9KU14	FERREDOXIN YFHL	21					
PTHR30349:SF41	"VIBCH|EnsemblGenome=VC_A0291|UniProtKB=H9L4R7,VIBCH|EnsemblGenome=VC_A0790|UniProtKB=Q9KLF4"	PROPHAGE INTEGRASE INTE	147					
PTHR30534:SF0	VIBCH|EnsemblGenome=VC_2132|UniProtKB=Q9X4Q9	FLAGELLAR MOTOR SWITCH PROTEIN FLIG	25		cell motility(GO:0048870)			
PTHR30183:SF7	VIBCH|EnsemblGenome=VC_A0686|UniProtKB=Q9KLQ6	SUBFAMILY NOT NAMED	2			plasma membrane(GO:0005886)	transporter(PC00227)	
PTHR11863:SF140	VIBCH|EnsemblGenome=VC_1534|UniProtKB=Q9KRV0	SUBFAMILY NOT NAMED	5			endoplasmic reticulum membrane(GO:0005789);plasma membrane(GO:0005886);vacuole(GO:0005773)	hydroxylase(PC00122)	
PTHR11670:SF43	VIBCH|EnsemblGenome=VC_1338|UniProtKB=Q9KSC0	SUBFAMILY NOT NAMED	5	cofactor binding(GO:0048037);hydro-lyase activity(GO:0016836)	tricarboxylic acid cycle(GO:0006099)	cytosol(GO:0005829)	dehydratase(PC00091);hydratase(PC00120)	
PTHR35849:SF2	VIBCH|EnsemblGenome=VC_A1097|UniProtKB=Q9KKK7	SUBFAMILY NOT NAMED	9					
PTHR43442:SF3	VIBCH|EnsemblGenome=VC_0287|UniProtKB=Q9KV70	GLUCONOKINASE-RELATED	90	"kinase activity(GO:0016301);phosphotransferase activity, alcohol group as acceptor(GO:0016773)"	carboxylic acid catabolic process(GO:0046395);cellular carbohydrate metabolic process(GO:0044262);monocarboxylic acid metabolic process(GO:0032787)		transferase(PC00220)	
PTHR11601:SF52	VIBCH|EnsemblGenome=VC_0748|UniProtKB=Q9KTY2	"CYSTEINE DESULFURASE, MITOCHONDRIAL"	168	lyase activity(GO:0016829)	cellular amino acid biosynthetic process(GO:0008652);sulfur compound metabolic process(GO:0006790)		lyase(PC00144)	
PTHR31760:SF0	VIBCH|EnsemblGenome=VC_2774|UniProtKB=Q9KNG5	S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN	71	RNA methyltransferase activity(GO:0008173);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757)	rRNA base methylation(GO:0070475)	cytosol(GO:0005829)		
PTHR24095:SF243	VIBCH|EnsemblGenome=VC_0298|UniProtKB=Q9KV59	ACETYL-COENZYME A SYNTHETASE	6					
PTHR43445:SF3	VIBCH|EnsemblGenome=VC_2400|UniProtKB=Q9KPG8	UDP-N-ACETYLMURAMATE--L-ALANINE LIGASE	33					
PTHR33121:SF30	"VIBCH|EnsemblGenome=VC_1592|UniProtKB=Q9KRP4,VIBCH|EnsemblGenome=VC_1710|UniProtKB=Q9KRD2,VIBCH|EnsemblGenome=VC_A0536|UniProtKB=Q9KM53"	CYCLIC DI-GMP PHOSPHODIESTERASE PDEI-RELATED	17					
PTHR13887:SF41	VIBCH|EnsemblGenome=VC_A0178|UniProtKB=Q9KMY8	THIOREDOXIN SUPERFAMILY PROTEIN	61					
PTHR43612:SF2	VIBCH|EnsemblGenome=VC_2758|UniProtKB=Q9KNI1	FATTY ACID OXIDATION COMPLEX SUBUNIT ALPHA	6	"hydro-lyase activity(GO:0016836);ligase activity, forming carbon-sulfur bonds(GO:0016877);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"	fatty acid catabolic process(GO:0009062)		dehydrogenase(PC00092);epimerase/racemase(PC00096);hydratase(PC00120)	
PTHR30558:SF13	VIBCH|EnsemblGenome=VC_1545|UniProtKB=Q9ZHV9	SUBFAMILY NOT NAMED	2			integral component of plasma membrane(GO:0005887)		
PTHR40590:SF1	VIBCH|EnsemblGenome=VC_2220|UniProtKB=Q9KPZ2	SUBFAMILY NOT NAMED	6					
PTHR42836:SF1	VIBCH|EnsemblGenome=VC_1365|UniProtKB=Q9KS94	7-CARBOXY-7-DEAZAGUANINE SYNTHASE	34					
PTHR37532:SF1	VIBCH|EnsemblGenome=VC_0754|UniProtKB=Q9KTX6	PROTEIN ISCX	10	iron ion binding(GO:0005506)	iron-sulfur cluster assembly(GO:0016226)			
PTHR30126:SF68	VIBCH|EnsemblGenome=VC_A0756|UniProtKB=Q9KLI8	HTH-TYPE TRANSCRIPTIONAL REGULATOR ABGR	12					
PTHR42848:SF1	VIBCH|EnsemblGenome=VC_1845|UniProtKB=Q9KR02	HOLLIDAY JUNCTION ATP-DEPENDENT DNA HELICASE RUVB	36	DNA helicase activity(GO:0003678);nucleic acid binding(GO:0003676)	DNA recombination(GO:0006310);DNA repair(GO:0006281)		DNA helicase(PC00011)	
PTHR32315:SF3	VIBCH|EnsemblGenome=VC_1053|UniProtKB=Q9KT52	ADENINE PHOSPHORIBOSYLTRANSFERASE	72	"anion binding(GO:0043168);cation binding(GO:0043169);drug binding(GO:0008144);purine ribonucleotide binding(GO:0032555);transferase activity, transferring pentosyl groups(GO:0016763)"	drug metabolic process(GO:0017144);purine nucleobase biosynthetic process(GO:0009113);purine ribonucleoside monophosphate biosynthetic process(GO:0009168);purine ribonucleotide biosynthetic process(GO:0009152)			
PTHR23417:SF14	VIBCH|EnsemblGenome=VC_0453|UniProtKB=Q9KUR2	TRNA (GUANINE-N(7)-)-METHYLTRANSFERASE	39					
PTHR30027:SF3	VIBCH|EnsemblGenome=VC_0469|UniProtKB=Q9KUP6	METHYLTRANSFERASE	73	RNA methyltransferase activity(GO:0008173);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757)	rRNA base methylation(GO:0070475)			
PTHR30472:SF37	VIBCH|EnsemblGenome=VC_0203|UniProtKB=Q9KVE3	IRON(3+)-HYDROXAMATE IMPORT SYSTEM PERMEASE PROTEIN FHUB	5	transporter activity(GO:0005215)	ion transport(GO:0006811)	plasma membrane(GO:0005886)	transporter(PC00227)	
PTHR21600:SF38	VIBCH|EnsemblGenome=VC_0709|UniProtKB=Q9KU20	RNA PSEUDOURIDINE SYNTHASE 1	77					
PTHR30154:SF46	VIBCH|EnsemblGenome=VC_1713|UniProtKB=Q9KRC9	SUBFAMILY NOT NAMED	6	sequence-specific DNA binding(GO:0043565)		cytosol(GO:0005829)		
PTHR33540:SF2	VIBCH|EnsemblGenome=VC_0343|UniProtKB=Q9KV15	TRNA THREONYLCARBAMOYLADENOSINE BIOSYNTHESIS PROTEIN TSAE	37					
PTHR43163:SF2	VIBCH|EnsemblGenome=VC_0172|UniProtKB=Q9KVH4	SUBFAMILY NOT NAMED	2				transporter(PC00227)	
PTHR38602:SF1	VIBCH|EnsemblGenome=VC_0351|UniProtKB=Q9KV07	SUBFAMILY NOT NAMED	8					
PTHR46124:SF2	"VIBCH|EnsemblGenome=VC_0103|UniProtKB=Q9KVN8,VIBCH|EnsemblGenome=VC_2014|UniProtKB=Q9KQI4"	SUBFAMILY NOT NAMED	45					
PTHR21152:SF7	VIBCH|EnsemblGenome=VC_0392|UniProtKB=Q9KUW7	SERINE--PYRUVATE AMINOTRANSFERASE	40				transaminase(PC00216)	
PTHR11963:SF20	VIBCH|EnsemblGenome=VC_0755|UniProtKB=Q9KTX5	PEPTIDASE B	6				metalloprotease(PC00153)	
PTHR38760:SF1	VIBCH|EnsemblGenome=VC_0122|UniProtKB=Q9KVL9	ADENYLATE CYCLASE	7	adenylate cyclase activity(GO:0004016)				
PTHR43719:SF39	VIBCH|EnsemblGenome=VC_2453|UniProtKB=Q9KPC0	SENSOR PROTEIN EVGS-RELATED	26					
PTHR35869:SF1	VIBCH|EnsemblGenome=VC_1107|UniProtKB=P57069	OUTER-MEMBRANE LIPOPROTEIN CARRIER PROTEIN	19					
PTHR30537:SF68	VIBCH|EnsemblGenome=VC_1049|UniProtKB=Q9KT56	SUBFAMILY NOT NAMED	10	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	"transcription, DNA-templated(GO:0006351)"			
PTHR10724:SF7	VIBCH|EnsemblGenome=VC_1915|UniProtKB=Q9KQT3	"30S RIBOSOMAL PROTEIN S1, CHLOROPLASTIC"	96	mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735)	formation of translation initiation ternary complex(GO:0001677);translational elongation(GO:0006414);translational termination(GO:0006415)		nucleic acid binding(PC00171)	
PTHR30472:SF27	VIBCH|EnsemblGenome=VC_A0228|UniProtKB=Q9KMU1	SUBFAMILY NOT NAMED	8	transporter activity(GO:0005215)	ion transport(GO:0006811)	plasma membrane(GO:0005886)	transporter(PC00227)	
PTHR11049:SF5	VIBCH|EnsemblGenome=VC_1701|UniProtKB=Q9KRE1	ACYL-COA THIOESTER HYDROLASE YCIA	9	"amide binding(GO:0033218);anion binding(GO:0043168);cofactor binding(GO:0048037);hydrolase activity, acting on ester bonds(GO:0016788);purine ribonucleotide binding(GO:0032555)"	acyl-CoA metabolic process(GO:0006637)	cytosol(GO:0005829)		
PTHR43826:SF3	VIBCH|EnsemblGenome=VC_A0684|UniProtKB=Q9KLQ8	GLUCOSE-6-PHOSPHATE EXCHANGER SLC37A4	41	transmembrane transporter activity(GO:0022857)	anion transport(GO:0006820);cellular process(GO:0009987)	integral component of membrane(GO:0016021)	cation transporter(PC00068)	
PTHR43776:SF4	VIBCH|EnsemblGenome=VC_1684|UniProtKB=Q9KRF8	PUTRESCINE EXPORT SYSTEM ATP-BINDING PROTEIN SAPF	6	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR30086:SF2	VIBCH|EnsemblGenome=VC_1421|UniProtKB=Q9KS40	SUBFAMILY NOT NAMED	7			plasma membrane(GO:0005886)		
PTHR20861:SF1	VIBCH|EnsemblGenome=VC_2363|UniProtKB=Q9KPK4	HOMOSERINE KINASE	90					
PTHR43675:SF3	VIBCH|EnsemblGenome=VC_2235|UniProtKB=Q9KPX7	ARSENITE METHYLTRANSFERASE	125	methyltransferase activity(GO:0008168)			methyltransferase(PC00155)	
PTHR38604:SF1	VIBCH|EnsemblGenome=VC_A0679|UniProtKB=Q9KLR3	"PERIPLASMIC NITRATE REDUCTASE, ELECTRON TRANSFER SUBUNIT"	8		anaerobic respiration(GO:0009061)			
PTHR12598:SF0	VIBCH|EnsemblGenome=VC_0730|UniProtKB=Q9KU00	COPPER HOMEOSTASIS PROTEIN CUTC HOMOLOG	53	cation transmembrane transporter activity(GO:0008324)			cation transporter(PC00068)	
PTHR43463:SF1	VIBCH|EnsemblGenome=VC_1237|UniProtKB=Q9KSL9	NICOTINATE-NUCLEOTIDE--DIMETHYLBENZIMIDAZOLE PHOSPHORIBOSYLTRANSFERASE	21	nucleotidyltransferase activity(GO:0016779)	metabolic process(GO:0008152)		nucleotidyltransferase(PC00174)	
PTHR30118:SF12	VIBCH|EnsemblGenome=VC_A0830|UniProtKB=Q9KLB6	SUBFAMILY NOT NAMED	2		"regulation of nucleobase-containing compound metabolic process(GO:0019219);transcription, DNA-templated(GO:0006351)"		helix-turn-helix transcription factor(PC00116)	
PTHR43065:SF9	"VIBCH|EnsemblGenome=VC_1085|UniProtKB=Q9KT20,VIBCH|EnsemblGenome=VC_1084|UniProtKB=Q9KT21,VIBCH|EnsemblGenome=VC_1088|UniProtKB=Q9KT17,VIBCH|EnsemblGenome=VC_A0719|UniProtKB=Q9KLM4"	SUBFAMILY NOT NAMED	12				esterase(PC00097);protein kinase(PC00193);transcription factor(PC00218)	
PTHR34266:SF2	VIBCH|EnsemblGenome=VC_0065|UniProtKB=Q9KVS4	THIAZOLE SYNTHASE	26					
PTHR43181:SF1	VIBCH|EnsemblGenome=VC_0529|UniProtKB=Q9KUJ1	"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE, CHLOROPLASTIC"	75	phosphorus-oxygen lyase activity(GO:0016849)				
PTHR19376:SF42	VIBCH|EnsemblGenome=VC_0329|UniProtKB=Q9KV29	DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA'	91	DNA-directed 5'-3' RNA polymerase activity(GO:0003899)			DNA-directed RNA polymerase(PC00019);nucleotidyltransferase(PC00174)	
PTHR37479:SF1	VIBCH|EnsemblGenome=VC_2408|UniProtKB=Q9KPG0	CELL DIVISION PROTEIN FTSL	9		asexual reproduction(GO:0019954);cytokinesis(GO:0000910);membrane fission(GO:0090148);reproductive process(GO:0022414)	cell division site(GO:0032153);integral component of plasma membrane(GO:0005887)		
PTHR43481:SF3	VIBCH|EnsemblGenome=VC_A0662|UniProtKB=Q9KLS9	FRUCTOSE-1-PHOSPHATE PHOSPHATASE YQAB	12	phosphatase activity(GO:0016791)			phosphatase(PC00181)	
PTHR21058:SF0	VIBCH|EnsemblGenome=VC_2268|UniProtKB=Q9KPU4	"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE"	99	"transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765)"	cellular nitrogen compound biosynthetic process(GO:0044271);drug metabolic process(GO:0017144);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362);organonitrogen compound biosynthetic process(GO:1901566);small molecule biosynthetic process(GO:0044283)	intracellular(GO:0005622)	transferase(PC00220)	
PTHR37469:SF3	VIBCH|EnsemblGenome=VC_0612|UniProtKB=Q9KUB1	SUBFAMILY NOT NAMED	2					
PTHR11649:SF13	VIBCH|EnsemblGenome=VC_0111|UniProtKB=Q9KVN0	GTP-BINDING PROTEIN ENGB-RELATED	86				small GTPase(PC00208)	
PTHR30175:SF4	VIBCH|EnsemblGenome=VC_0910|UniProtKB=Q9KTJ2	PTS SYSTEM TREHALOSE-SPECIFIC EIIBC COMPONENT	9	"active transmembrane transporter activity(GO:0022804);carbohydrate transmembrane transporter activity(GO:0015144);phosphotransferase activity, alcohol group as acceptor(GO:0016773)"	oligosaccharide transport(GO:0015772);phosphoenolpyruvate-dependent sugar phosphotransferase system(GO:0009401)	plasma membrane(GO:0005886)	carbohydrate kinase(PC00065);carbohydrate transporter(PC00067)	
PTHR23321:SF26	VIBCH|EnsemblGenome=VC_0646|UniProtKB=Q9KU77	"37S RIBOSOMAL PROTEIN S28, MITOCHONDRIAL"	93				ribosomal protein(PC00202)	
PTHR43026:SF1	VIBCH|EnsemblGenome=VC_A0192|UniProtKB=Q9KMX4	D-LACTATE DEHYDROGENASE-RELATED	34				dehydrogenase(PC00092)	
PTHR43597:SF2	VIBCH|EnsemblGenome=VC_2310|UniProtKB=Q9KPQ6	SULFUR ACCEPTOR PROTEIN CSDE	25					
PTHR44688:SF12	VIBCH|EnsemblGenome=VC_A0888|UniProtKB=Q9KL60	SUBFAMILY NOT NAMED	2					
PTHR30041:SF4	VIBCH|EnsemblGenome=VC_2165|UniProtKB=Q9KQ39	SUBFAMILY NOT NAMED	14					
PTHR33404:SF2	VIBCH|EnsemblGenome=VC_1961|UniProtKB=Q9KQN7	"CELL DIVISION TOPOLOGICAL SPECIFICITY FACTOR HOMOLOG, CHLOROPLASTIC"	68					
PTHR14269:SF40	VIBCH|EnsemblGenome=VC_1215|UniProtKB=Q9KSP1	"CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE 1, CHLOROPLASTIC"	89		glycerophospholipid biosynthetic process(GO:0046474)	mitochondrion(GO:0005739)	transferase(PC00220)	
PTHR33446:SF9	VIBCH|EnsemblGenome=VC_1544|UniProtKB=Q9KRU0	SUBFAMILY NOT NAMED	7	molecular transducer activity(GO:0060089)		plasma membrane protein complex(GO:0098797)		
PTHR30221:SF8	VIBCH|EnsemblGenome=VC_A0817|UniProtKB=Q9KLC9	SUBFAMILY NOT NAMED	4					
PTHR30574:SF1	VIBCH|EnsemblGenome=VC_A0641|UniProtKB=Q9KLV0	SUBFAMILY NOT NAMED	37			plasma membrane(GO:0005886)		
PTHR10353:SF85	VIBCH|EnsemblGenome=VC_1558|UniProtKB=Q9KRS8	6-PHOSPHO-BETA-GLUCOSIDASE BGLA	7	glucosidase activity(GO:0015926)	carbohydrate metabolic process(GO:0005975);organic substance catabolic process(GO:1901575)	cytosol(GO:0005829)		
PTHR11669:SF8	VIBCH|EnsemblGenome=VC_2015|UniProtKB=Q9KQI3	DNA POLYMERASE III SUBUNIT DELTA'	21		DNA biosynthetic process(GO:0071897);DNA-dependent DNA replication(GO:0006261)		DNA-directed DNA polymerase(PC00018);nucleotidyltransferase(PC00174)	
PTHR19375:SF352	VIBCH|EnsemblGenome=VC_0752|UniProtKB=Q9KTX8	ENDOPLASMIC RETICULUM CHAPERONE BIP	220	"ATP binding(GO:0005524);ATPase activity, coupled(GO:0042623);heat shock protein binding(GO:0031072);unfolded protein binding(GO:0051082)"	cellular response to heat(GO:0034605);cellular response to unfolded protein(GO:0034620);chaperone-mediated protein folding(GO:0061077)	cytoplasm(GO:0005737)		
PTHR13929:SF0	VIBCH|EnsemblGenome=VC_2673|UniProtKB=Q9KNQ8	UBIA PRENYLTRANSFERASE DOMAIN-CONTAINING PROTEIN 1	104	"transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765)"	coenzyme biosynthetic process(GO:0009108);organic substance biosynthetic process(GO:1901576);small molecule biosynthetic process(GO:0044283)		transferase(PC00220)	
PTHR32196:SF18	VIBCH|EnsemblGenome=VC_1328|UniProtKB=Q9KSD0	GALACTOSIDE TRANSPORT SYSTEM PERMEASE PROTEIN MGLC	6			integral component of membrane(GO:0016021);plasma membrane(GO:0005886)		
PTHR30093:SF22	VIBCH|EnsemblGenome=VC_2729|UniProtKB=P45774	TYPE II SECRETION SYSTEM PROTEIN H-RELATED	3					
PTHR43378:SF3	VIBCH|EnsemblGenome=VC_2250|UniProtKB=Q9KPW2	"UDP-3-O-ACYLGLUCOSAMINE N-ACYLTRANSFERASE 1, MITOCHONDRIAL-RELATED"	67	enzyme regulator activity(GO:0030234);guanyl-nucleotide exchange factor activity(GO:0005085);nucleotidyltransferase activity(GO:0016779);translation initiation factor activity(GO:0003743);translation regulator activity(GO:0045182)	glycogen metabolic process(GO:0005977);monosaccharide metabolic process(GO:0005996);phospholipid metabolic process(GO:0006644)		guanyl-nucleotide exchange factor(PC00113);nucleotidyltransferase(PC00174);translation initiation factor(PC00224)	
PTHR30267:SF2	VIBCH|EnsemblGenome=VC_1872|UniProtKB=Q9KQX5	SUBFAMILY NOT NAMED	18	protein kinase activity(GO:0004672)				
PTHR42735:SF6	VIBCH|EnsemblGenome=VC_A0269|UniProtKB=Q9KMQ1	SPHINGOSINE-1-PHOSPHATE LYASE 1	101	anion binding(GO:0043168);cofactor binding(GO:0048037);drug binding(GO:0008144);heterocyclic compound binding(GO:1901363);organic cyclic compound binding(GO:0097159);small molecule binding(GO:0036094)			decarboxylase(PC00089)	
PTHR38775:SF1	VIBCH|EnsemblGenome=VC_0145|UniProtKB=Q9KVJ8	SUBFAMILY NOT NAMED	7					
PTHR43071:SF1	VIBCH|EnsemblGenome=VC_0593|UniProtKB=Q9KUC9	2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE PYROPHOSPHOKINASE	36	catalytic activity(GO:0003824)	metabolic process(GO:0008152)			
PTHR10696:SF26	"VIBCH|EnsemblGenome=VC_1944|UniProtKB=Q9KQQ4,VIBCH|EnsemblGenome=VC_1949|UniProtKB=Q9KQP9"	SUBFAMILY NOT NAMED	3					
PTHR38008:SF2	VIBCH|EnsemblGenome=VC_A0594|UniProtKB=B1B1N2	SUBFAMILY NOT NAMED	6					
PTHR33446:SF2	VIBCH|EnsemblGenome=VC_A0910|UniProtKB=O52042	PROTEIN TONB	29					
PTHR37323:SF1	"VIBCH|EnsemblGenome=VC_A0646|UniProtKB=Q9KLU5,VIBCH|EnsemblGenome=VC_0489|UniProtKB=Q9KUM6"	SUBFAMILY NOT NAMED	10					
PTHR42928:SF3	VIBCH|EnsemblGenome=VC_1334|UniProtKB=Q9KSC4	SUBFAMILY NOT NAMED	9	DNA binding(GO:0003677)	DNA recombination(GO:0006310)	intracellular(GO:0005622)	DNA binding protein(PC00009)	
PTHR11910:SF1	VIBCH|EnsemblGenome=VC_2767|UniProtKB=Q9KNH2	"ATP SYNTHASE SUBUNIT O, MITOCHONDRIAL"	149					
PTHR23342:SF0	VIBCH|EnsemblGenome=VC_2643|UniProtKB=Q9KNT7	"N-ACETYLGLUTAMATE SYNTHASE, MITOCHONDRIAL"	94	amino acid binding(GO:0016597);cation binding(GO:0043169);kinase activity(GO:0016301)	cellular amino acid biosynthetic process(GO:0008652)			
PTHR22594:SF34	VIBCH|EnsemblGenome=VC_1297|UniProtKB=Q9KSF9	"ASPARAGINE--TRNA LIGASE, MITOCHONDRIAL-RELATED"	140	RNA binding(GO:0003723);ligase activity(GO:0016874)	translation(GO:0006412)		RNA binding protein(PC00031);aminoacyl-tRNA synthetase(PC00047)	
PTHR24422:SF9	VIBCH|EnsemblGenome=VC_2201|UniProtKB=Q9KQ06	SUBFAMILY NOT NAMED	5	methyltransferase activity(GO:0008168);protein kinase activity(GO:0004672)			methyltransferase(PC00155);protein kinase(PC00193)	
PTHR40942:SF4	VIBCH|EnsemblGenome=VC_0168|UniProtKB=Q9KVH8	SUBFAMILY NOT NAMED	5					
PTHR43191:SF2	VIBCH|EnsemblGenome=VC_0803|UniProtKB=Q9KTT5	"RRNA METHYLTRANSFERASE 3, MITOCHONDRIAL"	103	RNA binding(GO:0003723);RNA methyltransferase activity(GO:0008173)			RNA methyltransferase(PC00033)	
PTHR21499:SF3	"VIBCH|EnsemblGenome=VC_0547|UniProtKB=Q9KUH4,VIBCH|EnsemblGenome=VC_A0822|UniProtKB=Q9KLC4"	SUBFAMILY NOT NAMED	42	kinase activity(GO:0016301)	cellular amino acid biosynthetic process(GO:0008652)	cytosol(GO:0005829)	amino acid kinase(PC00045)	
PTHR43420:SF27	"VIBCH|EnsemblGenome=VC_A0442|UniProtKB=Q9KMC2,VIBCH|EnsemblGenome=VC_A0474|UniProtKB=Q9KMA3"	SUBFAMILY NOT NAMED	26	acetyltransferase activity(GO:0016407)	protein acetylation(GO:0006473)	intracellular(GO:0005622);protein-containing complex(GO:0032991)	acetyltransferase(PC00038)	
PTHR34702:SF1	VIBCH|EnsemblGenome=VC_A0153|UniProtKB=Q9KN13	SUBFAMILY NOT NAMED	20	sodium ion transmembrane transporter activity(GO:0015081);solute:proton antiporter activity(GO:0015299)				
PTHR30587:SF0	VIBCH|EnsemblGenome=VC_2123|UniProtKB=Q9KQ78	FLAGELLAR BIOSYNTHETIC PROTEIN FLIP	22					
PTHR43750:SF2	VIBCH|EnsemblGenome=VC_A0780|UniProtKB=Q9KLG4	UDP-GLUCOSE 6-DEHYDROGENASE	8	oxidoreductase activity(GO:0016491)	biosynthetic process(GO:0009058);carbohydrate metabolic process(GO:0005975);nucleobase-containing compound metabolic process(GO:0006139);phosphate-containing compound metabolic process(GO:0006796)		dehydrogenase(PC00092)	
PTHR36153:SF5	VIBCH|EnsemblGenome=VC_A0120|UniProtKB=Q9KN45	SUBFAMILY NOT NAMED	2					
