Longname	Mapped	Info	Panth_fam	Pant_prot_class	Species	Molecular_function	Bio_process	Cellular_component
VIBCH|EnsemblGenome=VC_A0103|UniProtKB=Q9KN62	VC_A0103	Sulfate permease family protein;VC_A0103;ortholog	SUBFAMILY NOT NAMED (PTHR11814:SF215)		Vibrio cholerae	secondary active sulfate transmembrane transporter activity(GO:0008271);sulfate transmembrane transporter activity(GO:0015116);fumarate transmembrane transporter activity(GO:0015138);succinate transmembrane transporter activity(GO:0015141);L-aspartate transmembrane transporter activity(GO:0015183)	sulfate transport(GO:0008272);fumarate transport(GO:0015741);transmembrane transport(GO:0055085);succinate transmembrane transport(GO:0071422);L-aspartate transmembrane transport(GO:0089712);sulfate transmembrane transport(GO:1902358)	integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1183|UniProtKB=Q9KSS3	VC_1183	Uncharacterized protein;VC_1183;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1362|UniProtKB=Q9KS97	VC_1362	Amino acid ABC transporter, periplasmic amino acid-binding protein;VC_1362;ortholog	AMINO-ACID ABC TRANSPORTER-BINDING PROTEIN YHDW-RELATED (PTHR30085:SF7)		Vibrio cholerae	amino acid-transporting ATPase activity(GO:0015424)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	
VIBCH|EnsemblGenome=VC_A0424|UniProtKB=Q9KMD7	VC_A0424	Uncharacterized protein;VC_A0424;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0852|UniProtKB=Q9KL94	VC_A0852	Uncharacterized protein;VC_A0852;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|Gene=VC_A0288|UniProtKB=O68844	VC_A0288	Translation initiation factor IF-3;infC;ortholog	TRANSLATION INITIATION FACTOR IF-3, MITOCHONDRIAL (PTHR10938:SF0)	translation initiation factor(PC00224)	Vibrio cholerae	translation initiation factor activity(GO:0003743);ribosome binding(GO:0043022)	translation(GO:0006412);translational initiation(GO:0006413);ribosome disassembly(GO:0032790)	cytoplasm(GO:0005737);cytosol(GO:0005829);membrane(GO:0016020)
VIBCH|EnsemblGenome=VC_A0491|UniProtKB=Q9KM90	VC_A0491	Uncharacterized protein;VC_A0491;ortholog	SUBFAMILY NOT NAMED (PTHR37103:SF1)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_2599|UniProtKB=Q9KNY1	VC_2599	Ribonuclease R;rnr;ortholog	DIS3-LIKE EXONUCLEASE 2 (PTHR23355:SF9)		Vibrio cholerae	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);nuclease activity(GO:0004518);exonuclease activity(GO:0004527);ribonuclease activity(GO:0004540);exoribonuclease II activity(GO:0008859);ribonuclease R activity(GO:0008997);hydrolase activity(GO:0016787)	RNA processing(GO:0006396);RNA metabolic process(GO:0016070);nucleic acid phosphodiester bond hydrolysis(GO:0090305);RNA phosphodiester bond hydrolysis(GO:0090501);RNA phosphodiester bond hydrolysis, exonucleolytic(GO:0090503)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2235|UniProtKB=Q9KPX7	VC_2235	Uncharacterized protein;VC_2235;ortholog	ARSENITE METHYLTRANSFERASE (PTHR43675:SF3)	methyltransferase(PC00155)	Vibrio cholerae	molecular_function(GO:0003674);methyltransferase activity(GO:0008168)	biological_process(GO:0008150);metabolic process(GO:0008152);methylation(GO:0032259)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0303|UniProtKB=Q9KV54	VC_0303	Sensor histidine kinase;VC_0303;ortholog	SUBFAMILY NOT NAMED (PTHR43047:SF9)		Vibrio cholerae	phosphorelay sensor kinase activity(GO:0000155);kinase activity(GO:0016301);transferase activity, transferring phosphorus-containing groups(GO:0016772);transmembrane transporter activity(GO:0022857)	phosphorelay signal transduction system(GO:0000160);signal transduction(GO:0007165);phosphorylation(GO:0016310);signal transduction by protein phosphorylation(GO:0023014);transmembrane transport(GO:0055085)	intracellular(GO:0005622);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1885|UniProtKB=Q9KQW3	VC_1885	Uncharacterized protein;VC_1885;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2297|UniProtKB=Q9KPR9	VC_2297	Ribosomal RNA large subunit methyltransferase G;rlmG;ortholog	RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE G (PTHR47816:SF4)		Vibrio cholerae	molecular_function(GO:0003674);nucleic acid binding(GO:0003676);methyltransferase activity(GO:0008168);rRNA (guanine-N2-)-methyltransferase activity(GO:0008990);transferase activity(GO:0016740);23S rRNA (guanine(1835)-N(2))-methyltransferase activity(GO:0052916)	rRNA processing(GO:0006364);biological_process(GO:0008150);rRNA methylation(GO:0031167);methylation(GO:0032259);rRNA base methylation(GO:0070475)	cellular_component(GO:0005575);cytoplasm(GO:0005737);cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_A1115|UniProtKB=Q9KKJ2	VC_A1115	ParA family protein;VC_A1115;ortholog	SUBFAMILY NOT NAMED (PTHR13696:SF92)		Vibrio cholerae			
VIBCH|EnsemblGenome=VC_A0531|UniProtKB=Q9KM57	VC_A0531	Sensor histidine kinase;VC_A0531;ortholog	SENSOR PROTEIN KDPD (PTHR45569:SF1)		Vibrio cholerae	phosphorelay sensor kinase activity(GO:0000155);nucleotide binding(GO:0000166);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity, transferring phosphorus-containing groups(GO:0016772)	phosphorelay signal transduction system(GO:0000160);signal transduction(GO:0007165);phosphorylation(GO:0016310);signal transduction by protein phosphorylation(GO:0023014)	intracellular(GO:0005622);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0970|UniProtKB=Q9KKY0	VC_A0970	Pyrimidine/purine nucleoside phosphorylase;ppnP;ortholog	PYRIMIDINE/PURINE NUCLEOSIDE PHOSPHORYLASE (PTHR36540:SF1)		Vibrio cholerae	molecular_function(GO:0003674);uridine phosphorylase activity(GO:0004850);thymidine phosphorylase activity(GO:0009032);pyrimidine-nucleoside phosphorylase activity(GO:0016154);transferase activity(GO:0016740);transferase activity, transferring glycosyl groups(GO:0016757);guanosine phosphorylase activity(GO:0047975)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1977|UniProtKB=Q9KQM1	VC_1977	Aspartate aminotransferase, putative;VC_1977;ortholog	GLUTAMATE-PYRUVATE AMINOTRANSFERASE ALAA (PTHR43488:SF2)	transaminase(PC00216)	Vibrio cholerae	catalytic activity(GO:0003824);L-aspartate:2-oxoglutarate aminotransferase activity(GO:0004069);transaminase activity(GO:0008483);transferase activity(GO:0016740);pyridoxal phosphate binding(GO:0030170)	aspartate biosynthetic process(GO:0006532);biosynthetic process(GO:0009058)	
VIBCH|EnsemblGenome=VC_A0361|UniProtKB=Q9KMI8	VC_A0361	Uncharacterized protein;VC_A0361;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1416|UniProtKB=Q9KS45	VC_1416	Actin cross-linking toxin VgrG1;vgrG1;ortholog	SUBFAMILY NOT NAMED (PTHR32305:SF11)	kinase activator(PC00138)	Vibrio cholerae	nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ligase activity(GO:0016874);acid-amino acid ligase activity(GO:0016881);metal ion binding(GO:0046872);toxin activity(GO:0090729)	biological_process(GO:0008150);pathogenesis(GO:0009405);isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine(GO:0018153);isopeptide cross-linking(GO:0018262);actin filament depolymerization(GO:0030042);actin filament reorganization(GO:0090527)	extracellular region(GO:0005576);host cell cytoplasm(GO:0030430);host cell cytosol(GO:0044164)
VIBCH|EnsemblGenome=VC_1686|UniProtKB=Q9KRF6	VC_1686	Uncharacterized protein;VC_1686;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0418|UniProtKB=Q9KUU7	VC_0418	Maf-like protein VC_0418;VC_0418;ortholog	MAF-LIKE PROTEIN YHDE (PTHR43213:SF7)	methyltransferase(PC00155)	Vibrio cholerae	nucleoside-triphosphate diphosphatase activity(GO:0047429)		cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2028|UniProtKB=Q9KQH0	VC_2028	Ribosomal large subunit pseudouridine synthase C;rluC;ortholog	RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE C (PTHR21600:SF46)		Vibrio cholerae	RNA binding(GO:0003723);pseudouridine synthase activity(GO:0009982);isomerase activity(GO:0016853);deaminase activity(GO:0019239)	rRNA modification(GO:0000154);enzyme-directed rRNA pseudouridine synthesis(GO:0000455);pseudouridine synthesis(GO:0001522);rRNA processing(GO:0006364);RNA modification(GO:0009451)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_2290|UniProtKB=Q9X4Q8	VC_2290	Na(+)-translocating NADH-quinone reductase subunit F;nqrF;ortholog	NAD(P)H-FLAVIN REDUCTASE (PTHR43644:SF1)	reductase(PC00198)	Vibrio cholerae	NADH dehydrogenase (ubiquinone) activity(GO:0008137);electron transfer activity(GO:0009055);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor(GO:0016655);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);2 iron, 2 sulfur cluster binding(GO:0051537)	ion transport(GO:0006811);sodium ion transport(GO:0006814);electron transport chain(GO:0022900);oxidation-reduction process(GO:0055114)	plasma membrane(GO:0005886);membrane(GO:0016020);integral component of membrane(GO:0016021);NADH dehydrogenase complex(GO:0030964)
VIBCH|EnsemblGenome=VC_1272|UniProtKB=Q9KSI4	VC_1272	Uncharacterized protein;VC_1272;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0906|UniProtKB=Q9KL42	VC_A0906	Methyl-accepting chemotaxis protein;VC_A0906;ortholog	SUBFAMILY NOT NAMED (PTHR32089:SF41)		Vibrio cholerae	signaling receptor activity(GO:0004872);signaling receptor activity(GO:0038023)	chemotaxis(GO:0006935);signal transduction(GO:0007165)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0094|UniProtKB=Q9KN71	VC_A0094	Uncharacterized protein;VC_A0094;ortholog	SUBFAMILY NOT NAMED (PTHR33204:SF18)	winged helix/forkhead transcription factor(PC00246)	Vibrio cholerae	molecular_function(GO:0003674)	transcription, DNA-templated(GO:0006351);regulation of transcription, DNA-templated(GO:0006355);biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1539|UniProtKB=Q9KRU5	VC_1539	Putative kinase VC_1539;VC_1539;ortholog	FRUCTOSAMINE 3 KINASE-RELATED PROTEIN (PTHR12149:SF8)		Vibrio cholerae	molecular_function(GO:0003674);kinase activity(GO:0016301);transferase activity(GO:0016740)	biological_process(GO:0008150);phosphorylation(GO:0016310)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1805|UniProtKB=Q9KR41	VC_1805	Uncharacterized protein;VC_1805;ortholog	SUBFAMILY NOT NAMED (PTHR38978:SF2)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2595|UniProtKB=Q9KNY5	VC_2595	50S ribosomal protein L4;rplD;ortholog	54S RIBOSOMAL PROTEIN YML6, MITOCHONDRIAL (PTHR10746:SF6)		Vibrio cholerae	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	transcription, DNA-templated(GO:0006351);DNA-templated transcription, termination(GO:0006353);regulation of transcription, DNA-templated(GO:0006355);translation(GO:0006412);regulation of translation(GO:0006417)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);cytosolic ribosome(GO:0022626);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_2646|UniProtKB=Q9KNT4	VC_2646	Phosphoenolpyruvate carboxylase;ppc;ortholog	PHOSPHOENOLPYRUVATE CARBOXYLASE 4 (PTHR30523:SF6)	lyase(PC00144)	Vibrio cholerae	catalytic activity(GO:0003824);phosphoenolpyruvate carboxylase activity(GO:0008964);lyase activity(GO:0016829)	tricarboxylic acid cycle(GO:0006099);carbon fixation(GO:0015977)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_0372|UniProtKB=Q9KUY6	VC_0372	Alanine racemase 1;alr1;ortholog	ALANINE RACEMASE, BIOSYNTHETIC (PTHR30511:SF4)	epimerase/racemase(PC00096)	Vibrio cholerae	catalytic activity(GO:0003824);alanine racemase activity(GO:0008784);isomerase activity(GO:0016853)	alanine metabolic process(GO:0006522);peptidoglycan biosynthetic process(GO:0009252);D-alanine biosynthetic process(GO:0030632)	
VIBCH|EnsemblGenome=VC_A0605|UniProtKB=Q9KLY6	VC_A0605	Aminotransferase, class III;VC_A0605;ortholog	AMINOTRANSFERASE CLASS-III (PTHR43094:SF1)	transaminase(PC00216)	Vibrio cholerae	catalytic activity(GO:0003824);transaminase activity(GO:0008483);transferase activity(GO:0016740);pyridoxal phosphate binding(GO:0030170)	biological_process(GO:0008150)	
VIBCH|EnsemblGenome=VC_A1062|UniProtKB=Q9KKP0	VC_A1062	Putrescine transporter PotE;potE;ortholog	PUTRESCINE TRANSPORTER POTE (PTHR42770:SF6)	amino acid transporter(PC00046)	Vibrio cholerae	amino acid transmembrane transporter activity(GO:0015171);symporter activity(GO:0015293);antiporter activity(GO:0015297);putrescine transmembrane transporter activity(GO:0015489);putrescine:ornithine antiporter activity(GO:0015496)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);ornithine transport(GO:0015822);putrescine transport(GO:0015847);L-ornithine transmembrane transport(GO:1903352)	plasma membrane(GO:0005886);integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1217|UniProtKB=Q9KSN9	VC_1217	Uncharacterized protein;VC_1217;ortholog	N-ACETYLTRANSFERASE 14 (PTHR13947:SF37)		Vibrio cholerae	molecular_function(GO:0003674);N-acetyltransferase activity(GO:0008080)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0580|UniProtKB=Q9KM09	VC_A0580	Putative esterase VC_A0580;VC_A0580;ortholog	1,4-DIHYDROXY-2-NAPHTHOYL-COA THIOESTERASE 1 (PTHR43240:SF5)		Vibrio cholerae	molecular_function(GO:0003674);hydrolase activity(GO:0016787)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0222|UniProtKB=O07350	VC_A0222	Lipase chaperone;lifO;ortholog			Vibrio cholerae	unfolded protein binding(GO:0051082)	protein folding(GO:0006457);lipid metabolic process(GO:0006629);lipid catabolic process(GO:0016042)	plasma membrane(GO:0005886);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0257|UniProtKB=Q9K3D5	VC_A0371,VC_A0791,VC_1789	Transposase OrfAB, subunit B;VC_0257;ortholog	TRANSPOSASE INSO FOR INSERTION SEQUENCE ELEMENT IS911A-RELATED (PTHR42648:SF10)		Vibrio cholerae	nucleic acid binding(GO:0003676);transposase activity(GO:0004803)	transposition, DNA-mediated(GO:0006313);DNA integration(GO:0015074)	
VIBCH|EnsemblGenome=VC_0347|UniProtKB=Q9KV11	VC_0347	RNA-binding protein Hfq;hfq;ortholog	RNA-BINDING PROTEIN HFQ (PTHR34772:SF1)		Vibrio cholerae	RNA binding(GO:0003723)	regulation of transcription, DNA-templated(GO:0006355);mRNA polyadenylation(GO:0006378);pathogenesis(GO:0009405);targeting of mRNA for destruction involved in RNA interference(GO:0030423)	
VIBCH|EnsemblGenome=VC_1414|UniProtKB=Q9KS46	VC_1414	Metal-dependent carboxypeptidase;VC_1414;ortholog	SUBFAMILY NOT NAMED (PTHR34217:SF1)	metalloprotease(PC00153)	Vibrio cholerae	carboxypeptidase activity(GO:0004180);metallocarboxypeptidase activity(GO:0004181);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	proteolysis(GO:0006508)	
VIBCH|EnsemblGenome=VC_1618|UniProtKB=Q9KRL8	VC_1618	Multidrug resistance protein, putative;VC_1618;ortholog	INNER MEMBRANE TRANSPORT PROTEIN YNFM (PTHR43271:SF1)	transporter(PC00227)	Vibrio cholerae	drug transmembrane transporter activity(GO:0015238)	drug transmembrane transport(GO:0006855);response to drug(GO:0042493);transmembrane transport(GO:0055085)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1890|UniProtKB=Q9KQV8	VC_1890	NADH dehydrogenase;VC_1890;ortholog	NADH DEHYDROGENASE (PTHR43706:SF9)	dehydrogenase(PC00092);oxidase(PC00175);reductase(PC00198)	Vibrio cholerae	NADH dehydrogenase activity(GO:0003954);oxidoreductase activity(GO:0016491)	oxidation-reduction process(GO:0055114)	
VIBCH|EnsemblGenome=VC_A0043|UniProtKB=Q9KNC2	VC_A0043	Uncharacterized protein;VC_A0043;ortholog	PROTEIN NATD1 (PTHR31435:SF1)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0107|UniProtKB=Q9KN58	VC_A0107	Uncharacterized protein;VC_A0107;ortholog	SUBFAMILY NOT NAMED (PTHR35850:SF2)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0219|UniProtKB=Q9KVC7	VC_0219	50S ribosomal protein L33;rpmG;ortholog	39S RIBOSOMAL PROTEIN L33, MITOCHONDRIAL-RELATED (PTHR15238:SF1)		Vibrio cholerae	structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	intracellular(GO:0005622);ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_0288|UniProtKB=Q9KV69	VC_0288	Phosphogluconate dehydratase;VC_0288;ortholog	PHOSPHOGLUCONATE DEHYDRATASE (PTHR43661:SF1)	dehydratase(PC00091)	Vibrio cholerae	catalytic activity(GO:0003824);phosphogluconate dehydratase activity(GO:0004456);lyase activity(GO:0016829)	metabolic process(GO:0008152);Entner-Doudoroff pathway through 6-phosphogluconate(GO:0009255)	
VIBCH|EnsemblGenome=VC_1952|UniProtKB=Q9KQP6	VC_1952	Chitinase;VC_1952;ortholog			Vibrio cholerae	hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);chitinase activity(GO:0004568);chitin binding(GO:0008061);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246)	carbohydrate metabolic process(GO:0005975);chitin catabolic process(GO:0006032);metabolic process(GO:0008152)	extracellular region(GO:0005576)
VIBCH|EnsemblGenome=VC_A1094|UniProtKB=Q9KKL0	VC_A1094	Purine-binding chemotaxis protein CheW;VC_A1094;ortholog	CHEMOTAXIS PROTEIN CHEW (PTHR22617:SF42)	amino acid kinase(PC00045)	Vibrio cholerae		chemotaxis(GO:0006935);signal transduction(GO:0007165)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_1945|UniProtKB=Q9KQQ3	VC_1945	FAD monooxygenase, PheA/TfdB family;VC_1945;ortholog	SUBFAMILY NOT NAMED (PTHR43004:SF11)	oxygenase(PC00177)	Vibrio cholerae	monooxygenase activity(GO:0004497);FAD binding(GO:0071949)	oxidation-reduction process(GO:0055114)	
VIBCH|EnsemblGenome=VC_1398|UniProtKB=Q9KS62	VC_1398	Chemotaxis protein CheY;VC_1398;ortholog	SUBFAMILY NOT NAMED (PTHR43412:SF2)	methyltransferase(PC00155);protein kinase(PC00193);transcription factor(PC00218)	Vibrio cholerae		phosphorelay signal transduction system(GO:0000160);chemotaxis(GO:0006935)	intracellular(GO:0005622)
VIBCH|EnsemblGenome=VC_A0068|UniProtKB=Q9KN97	VC_A0068	Methyl-accepting chemotaxis protein;VC_A0068;ortholog	SUBFAMILY NOT NAMED (PTHR32089:SF33)		Vibrio cholerae	signaling receptor activity(GO:0004872);signaling receptor activity(GO:0038023)	chemotaxis(GO:0006935);signal transduction(GO:0007165)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1057|UniProtKB=Q9KT48	VC_1057	UPF0153 protein VC_1057;VC_1057;ortholog	UPF0153 PROTEIN YEIW (PTHR36931:SF1)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2578|UniProtKB=Q9KP02	VC_2578	50S ribosomal protein L30;rpmD;ortholog	39S RIBOSOMAL PROTEIN L30, MITOCHONDRIAL (PTHR15892:SF2)		Vibrio cholerae	structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	ribosome(GO:0005840);large ribosomal subunit(GO:0015934);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_0525|UniProtKB=Q9KUJ5	VC_0525	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase;VC_0525;ortholog	SUBFAMILY NOT NAMED (PTHR43071:SF2)		Vibrio cholerae	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity(GO:0003848);kinase activity(GO:0016301)	folic acid-containing compound metabolic process(GO:0006760);folic acid-containing compound biosynthetic process(GO:0009396);phosphorylation(GO:0016310)	
VIBCH|EnsemblGenome=VC_1549|UniProtKB=Q9KRT7	VC_1549	Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein;VC_1549;ortholog	SN-GLYCEROL-3-PHOSPHATE-BINDING PERIPLASMIC PROTEIN UGPB (PTHR43649:SF11)		Vibrio cholerae	glycerol-3-phosphate-transporting ATPase activity(GO:0015430)	glycerol-3-phosphate transmembrane transport(GO:0015794);ATP hydrolysis coupled anion transmembrane transport(GO:0099133)	
VIBCH|EnsemblGenome=VC_0870|UniProtKB=Q7DCS6	VC_A0275,VC_0870	IS1004 transposase;VC_0870;ortholog	SUBFAMILY NOT NAMED (PTHR33360:SF2)		Vibrio cholerae	DNA binding(GO:0003677);transposase activity(GO:0004803)	transposition, DNA-mediated(GO:0006313)	
VIBCH|EnsemblGenome=VC_2572|UniProtKB=Q9KP07	VC_2572	30S ribosomal protein S4;rpsD;ortholog	37S RIBOSOMAL PROTEIN NAM9, MITOCHONDRIAL (PTHR11831:SF4)	ribosomal protein(PC00202)	Vibrio cholerae	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	translation(GO:0006412);positive regulation of translational fidelity(GO:0045903)	intracellular(GO:0005622);ribosome(GO:0005840);small ribosomal subunit(GO:0015935);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_0934|UniProtKB=Q9KTG8	VC_0934	Capsular polysaccharide biosynthesis glycosyltransferase, putative;VC_0934;ortholog	UDP-GLUCOSE:UNDECAPRENYL-PHOSPHATE GLUCOSE-1-PHOSPHATE TRANSFERASE (PTHR30576:SF21)	transferase(PC00220)	Vibrio cholerae	transferase activity(GO:0016740);undecaprenyl-phosphate glucose phosphotransferase activity(GO:0089702)	polysaccharide biosynthetic process(GO:0000271);colanic acid biosynthetic process(GO:0009242)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_2582|UniProtKB=Q9KNZ8	VC_2582	30S ribosomal protein S8;rpsH;ortholog	37S RIBOSOMAL PROTEIN S8, MITOCHONDRIAL (PTHR11758:SF4)	ribosomal protein(PC00202)	Vibrio cholerae	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	translation(GO:0006412)	ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_0804|UniProtKB=Q9KTT4	VC_0804	Ferredoxin;VC_0804;ortholog	SUBFAMILY NOT NAMED (PTHR42859:SF2)	dehydrogenase(PC00092);reductase(PC00198)	Vibrio cholerae	electron transfer activity(GO:0009055);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);3 iron, 4 sulfur cluster binding(GO:0051538);4 iron, 4 sulfur cluster binding(GO:0051539)	electron transport chain(GO:0022900);oxidation-reduction process(GO:0055114)	
VIBCH|EnsemblGenome=VC_1546|UniProtKB=Q9KRT9	VC_1546	TonB system transport protein ExbB2;VC_1546;ortholog	SUBFAMILY NOT NAMED (PTHR30625:SF12)		Vibrio cholerae	transporter activity(GO:0005215)	protein transport(GO:0015031);protein import(GO:0017038)	integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0027|UniProtKB=Q9KND8	VC_A0027	Chitinase;VC_A0027;ortholog	CHITINASE 7 (PTHR11177:SF317)		Vibrio cholerae	hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);chitinase activity(GO:0004568);chitin binding(GO:0008061);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246)	carbohydrate metabolic process(GO:0005975);chitin catabolic process(GO:0006032);metabolic process(GO:0008152)	extracellular region(GO:0005576)
VIBCH|EnsemblGenome=VC_A0086|UniProtKB=Q9KN79	VC_A0086	Uncharacterized protein;VC_A0086;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2343|UniProtKB=Q9KPM4	VC_2343	DNA repair protein RadA;radA;ortholog	DNA REPAIR PROTEIN RADA-LIKE PROTEIN (PTHR32472:SF10)	serine protease(PC00203)	Vibrio cholerae	nucleotide binding(GO:0000166);DNA binding(GO:0003677);damaged DNA binding(GO:0003684);ATP binding(GO:0005524);DNA-dependent ATPase activity(GO:0008094);metal ion binding(GO:0046872)	recombinational repair(GO:0000725);DNA repair(GO:0006281);cellular response to DNA damage stimulus(GO:0006974)	
VIBCH|EnsemblGenome=VC_2723|UniProtKB=P45784	VC_2723	Type II secretion system protein N;epsN;ortholog			Vibrio cholerae	protein transporter activity(GO:0008565)	protein secretion(GO:0009306);protein transport(GO:0015031);protein secretion by the type II secretion system(GO:0015628)	plasma membrane(GO:0005886);type II protein secretion system complex(GO:0015627);membrane(GO:0016020);integral component of membrane(GO:0016021)
