vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC0745,Q9KTY5,INOSITOL-1-MONOPHOSPHATASE,139,inositol phosphate phosphatase activity,GO:0052745
VC0746,Q9KTY4,TRNA (CYTIDINE/URIDINE-2'-O-)-METHYLTRANSFERASE TRMJ,29,S-adenosylmethionine-dependent methyltransferase activity;tRNA methyltransferase activity,GO:0008757;GO:0008175
VC0747,Q9KTY3,HTH-TYPE TRANSCRIPTIONAL REGULATOR ISCR,14,DNA-binding transcription factor activity,GO:0003700
VC0748,Q9KTY2,"CYSTEINE DESULFURASE, MITOCHONDRIAL",168,lyase activity,GO:0016829
VC0749,Q9KTY1,"IRON-SULFUR CLUSTER ASSEMBLY ENZYME ISCU, MITOCHONDRIAL",159,cofactor binding;iron ion binding;transferase activity,GO:0048037;GO:0005506;GO:0016740
VC0750,Q9KTY0,"IRON-SULFUR CLUSTER ASSEMBLY 1 HOMOLOG, MITOCHONDRIAL-RELATED",135,cofactor binding,GO:0048037
VC0751,Q9KTX9,"IRON-SULFUR CLUSTER CO-CHAPERONE PROTEIN HSCB, MITOCHONDRIAL",99,"",""
VC0752,Q9KTX8,ENDOPLASMIC RETICULUM CHAPERONE BIP,220,"ATP binding;ATPase activity, coupled;heat shock protein binding;unfolded protein binding",GO:0005524;GO:0042623;GO:0031072;GO:0051082
VC0753,Q9KTX7,"ADRENODOXIN, MITOCHONDRIAL",38,"",""
VC0754,Q9KTX6,PROTEIN ISCX,10,iron ion binding,GO:0005506
VC0755,Q9KTX5,PEPTIDASE B,6,"",""
VC0756,Q9KTX4,NUCLEOSIDE DIPHOSPHATE KINASE,153,"kinase activity;phosphotransferase activity, phosphate group as acceptor",GO:0016301;GO:0016776
VC0757,Q9KTX3,RADICAL SAM SUPERFAMILY PROTEIN,72,"",""
VC0758,Q9KTX2,CYTOSKELETON PROTEIN RODZ,25,"",""
VC0759,Q9KTX1,"4-HYDROXY-3-METHYLBUT-2-EN-1-YL DIPHOSPHATE SYNTHASE (FERREDOXIN), CHLOROPLASTIC",76,"",""
VC0760,Q9KTX0,"HISTIDINE--TRNA LIGASE, MITOCHONDRIAL-RELATED",92,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0761,Q9KTW9,UPF0070 PROTEIN YFGM,10,"",""
VC0762,Q9KTW8,OUTER MEMBRANE PROTEIN ASSEMBLY FACTOR BAMB,48,"",""
VC0763,Q9KTW7,GTP-BINDING PROTEIN,87,"",""
VC0764,Q9KTW6,,,,
VC0765,Q9KTW5,,,,
VC0766,Q9KTW4,EXODEOXYRIBONUCLEASE 7 LARGE SUBUNIT,31,nuclease activity;nucleic acid binding;protein binding,GO:0004518;GO:0003676;GO:0005515
VC0767,Q9KTW3,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE,40,"",""
VC0768,Q9KTW2,GMP SYNTHASE [GLUTAMINE-HYDROLYZING],152,ligase activity,GO:0016874
VC0769,Q9KTW1,ENDOCHITINASE EP3,87,"",""
VC0770,Q9KTW0,SUCCINATE-ACETATE/PROTON SYMPORTER SATP,22,"",""
VC0771,P0C6D3,ENTEROBACTIN SYNTHASE COMPONENT B,7,amide binding;anion binding;cofactor binding;hydrolase activity;ligase activity;magnesium ion binding;small molecule binding,GO:0033218;GO:0043168;GO:0048037;GO:0016787;GO:0016874;GO:0000287;GO:0036094
VC0772,O07899,ENTEROBACTIN SYNTHASE COMPONENT E,10,"",""
VC0773,O07898,ISOCHORISMATE SYNTHASE ENTC,6,intramolecular transferase activity,GO:0016866
VC0774,Q56632,SUBFAMILY NOT NAMED,3,"",""
VC0775,Q9KTV9,,,,
VC0776,H9L4S6,FERRIENTEROBACTIN-BINDING PERIPLASMIC PROTEIN,5,"",""
VC0777,H9L4Q8,FE(3+) DICITRATE TRANSPORT SYSTEM PERMEASE PROTEIN FECC-RELATED,16,transporter activity,GO:0005215
VC0778,H9L4Q0,FERRIC ENTEROBACTIN TRANSPORT SYSTEM PERMEASE PROTEIN FEPG,13,transporter activity,GO:0005215
VC0779,Q9KTV8,FE(3+) DICITRATE TRANSPORT ATP-BINDING PROTEIN FECE-RELATED,19,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0780,Q9KTV7,ENTEROBACTIN SYNTHASE COMPONENT D,8,"transferase activity, transferring phosphorus-containing groups",GO:0016772
VC0781,Q9KTV6,,,,
VC0782,Q9KTV5,,,,
VC0783,Q9KTV4,ALKYL/ARYL-SULFATASE BDS1,21,"hydrolase activity, acting on ester bonds",GO:0016788
VC0784,Q9KTV3,SUBFAMILY NOT NAMED,8,"",""
VC0785,Q9KTV2,,,,
VC0786,Q9KTV1,D-AMINO ACID DEHYDROGENASE,17,oxidoreductase activity,GO:0016491
VC0787,Q9KTV0,,,,
VC0788,Q9KTU9,SUBFAMILY NOT NAMED,11,"",""
VC0789,Q9KTU8,,,,
VC0790,Q9KTU7,,,,
VC0791,Q9KTU6,,,,
VC0792,Q9KTU5,,,,
VC0794,Q9KTU4,,,,
VC0795,Q9KTU3,SUBFAMILY NOT NAMED,6,"",""
VC0796,Q9KTU2,[CITRATE [PRO-3S]-LYASE] LIGASE,6,"ligase activity, forming carbon-sulfur bonds",GO:0016877
VC0797,Q9KTU1,,,,
VC0798,Q9KTU0,CITRATE LYASE SUBUNIT BETA,42,magnesium ion binding,GO:0000287
VC0799,Q9KTT9,CITRATE LYASE ALPHA CHAIN,6,"",""
VC0800,Q9KTT8,,,,
VC0801,Q9KTT7,2-(5''-TRIPHOSPHORIBOSYL)-3'-DEPHOSPHOCOENZYME-A SYNTHASE,13,"transferase activity, transferring phosphorus-containing groups",GO:0016772
VC0802,Q9KTT6,SUBFAMILY NOT NAMED,7,"",""
VC0803,Q9KTT5,"RRNA METHYLTRANSFERASE 3, MITOCHONDRIAL",103,RNA binding;RNA methyltransferase activity,GO:0003723;GO:0008173
VC0804,Q9KTT4,SUBFAMILY NOT NAMED,16,"",""
VC0805,Q9KTT3,,,,
VC0806,Q9KTT2,FAD/NAD(P)-BINDING OXIDOREDUCTASE FAMILY PROTEIN,42,"",""
VC0807,Q9KTT1,,,,
VC0808,Q9KTT0,,,,
VC0809,Q9KTS9,,,,
VC0810,Q9KTS8,,,,
VC0811,Q9KTS7,,,,
VC0812,Q9KTS6,ATP-DEPENDENT RNA HELICASE DDX18,117,"",""
VC0813,Q9KTS5,,,,
VC0814,Q9KTS4,,,,
VC0815,Q9KTS3,SUBFAMILY NOT NAMED,2,protein serine/threonine kinase activity,GO:0004674
VC0816,Q9KTS2,,,,
VC0817,Q9KTS1,SUBFAMILY NOT NAMED,47,"",""
VC0819,P0C6D7,,,,
VC0820,P0C6Q7,,,,
VC0821,H9L4S0,,,,
VC0822,Q9KTR8,,,,
VC0823,Q9KTR7,,,,
VC0824,P0C6P9,THIOL PEROXIDASE,32,oxidoreductase activity,GO:0016491
VC0825,P0C6D8,,,,
VC0826,P29485,,,,
VC0827,P29489,,,,
VC0828,Q60153,,,,
VC0829,P23476,,,,
VC0830,P29490,,,,
VC0831,P29481,,,,
VC0832,P0C6D5,,,,
VC0833,P29491,,,,
VC0834,P29484,,,,
VC0835,P29480,,,,
VC0836,P0C6C9,,,,
VC0837,P0C6Q5,,,,
VC0838,P0C6D6,,,,
VC0839,P0C6D9,,,,
VC0840,Q9KTQ7,,,,
VC0841,Q9KTQ6,,,,
VC0842,H9L4P4,SUBFAMILY NOT NAMED,6,"",""
VC0843,H9L4P5,,,,
VC0844,H9L4S5,,,,
VC0845,P0C6F0,LIPOPROTEIN ACFD HOMOLOG-RELATED,2,"",""
VC0847,H9L4T5,,,,
VC0848,P52116,SSRA-BINDING PROTEIN,37,"",""
VC0849,P0C6Q0,RIBOSOME ASSOCIATION TOXIN RATA,11,cofactor binding,GO:0048037
VC0850,P0C6P8,UPF0125 PROTEIN RATB,10,"",""
VC0851,P0C6Q9,OUTER MEMBRANE PROTEIN ASSEMBLY FACTOR BAME,11,"protein binding, bridging",GO:0030674
VC0852,P0C6Q4,DNA REPAIR PROTEIN RECN,36,"",""
VC0853,Q9KTP8,NAD KINASE,152,kinase activity,GO:0016301
VC0854,O30862,"GRPE PROTEIN HOMOLOG, MITOCHONDRIAL",113,ATPase activity;nucleoside-triphosphatase regulator activity;purine nucleotide binding;unfolded protein binding,GO:0016887;GO:0060589;GO:0017076;GO:0051082
VC0855,O34241,"STRESS-70 PROTEIN, MITOCHONDRIAL",145,"ATP binding;ATPase activity, coupled;heat shock protein binding;unfolded protein binding",GO:0005524;GO:0042623;GO:0031072;GO:0051082
VC0856,O34242,CHAPERONE PROTEIN DNAJ,37,"",""
VC0857,Q9KTP4,SUBFAMILY NOT NAMED,7,"",""
VC0858,Q9KTP3,,,,
VC0859,Q9KTP2,,,,
VC0860,Q9KTP1,,,,
VC0861,Q9KTP0,,,,
VC0862,Q9KTN9,,,,
VC0863,Q9KTN8,SUBFAMILY NOT NAMED,3,dicarboxylic acid transmembrane transporter activity;dipeptide transmembrane transporter activity;secondary active transmembrane transporter activity,GO:0005310;GO:0071916;GO:0015291
VC0864,Q9KTN7,"TRNA(ADENINE(34)) DEAMINASE, CHLOROPLASTIC",73,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",GO:0016810
VC0865,Q9KTN6,,,,
VC0866,Q9KTN5,MEMBRANE-BOUND LYTIC MUREIN TRANSGLYCOSYLASE F,10,"",""
VC0867,Q9KTN4,,,,
VC0868,Q9KTN3,,,,
VC0869,Q9KTN2,PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE,120,"",""
VC0870,Q7DCS6,,,,
VC0871,Q9KTN1,,,,
VC0872,Q9KTN0,,,,
VC0873,Q9KTM9,,,,
VC0874,Q9KTM8,,,,
VC0875,Q9KTM7,"PROLINE--TRNA LIGASE, MITOCHONDRIAL-RELATED",70,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0876,Q9KTM6,TRNA (ADENINE(37)-N6)-METHYLTRANSFERASE,101,"",""
VC0877,Q9KTM5,,,,
VC0878,Q9KTM4,50S RIBOSOMAL PROTEIN L31 TYPE B,6,"",""
VC0879,Q9KTM3,50S RIBOSOMAL PROTEIN L36 2,10,"",""
VC0880,Q9KTM2,P-AMINOBENZOYL-GLUTAMATE TRANSPORT PROTEIN,8,dicarboxylic acid transmembrane transporter activity;dipeptide transmembrane transporter activity;secondary active transmembrane transporter activity,GO:0005310;GO:0071916;GO:0015291
VC0881,Q9KTM1,UPF0178 PROTEIN YAII,16,"",""
VC0882,Q9KTM0,,,,
VC0883,Q9KTL9,,,,
VC0884,Q9KTL8,,,,
VC0885,Q9KTL7,,,,
VC0886,Q9KTL6,,,,
VC0887,Q9KTL5,SUBFAMILY NOT NAMED,7,"",""
VC0888,Q9KTL4,TRNA PSEUDOURIDINE SYNTHASE C,9,intramolecular transferase activity,GO:0016866
VC0889,Q9KTL3,"1-DEOXY-D-XYLULOSE-5-PHOSPHATE SYNTHASE, CHLOROPLASTIC",81,"",""
VC0890,Q9KTL2,FARNESYL DIPHOSPHATE SYNTHASE,77,"",""
VC0891,Q9KTL1,EXODEOXYRIBONUCLEASE 7 SMALL SUBUNIT,27,"deoxyribonuclease activity;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",GO:0004536;GO:0016796
VC0892,Q9KTL0,SUBFAMILY NOT NAMED,10,"",""
VC0893,Q9KTK9,SUBFAMILY NOT NAMED,2,"",""
VC0894,Q9KTK8,TRNA SULFURTRANSFERASE,24,tRNA binding,GO:0000049
VC0895,Q9KTK7,,,,
VC0896,Q9KTK6,,,,
VC0897,Q9KTK5,TRANSMEMBRANE PROTEIN 256,97,carbohydrate kinase activity,GO:0019200
VC0898,Q9KTK4,FLAP ENDONUCLEASE XNI,50,"",""
VC0899,Q9KTK3,PYRIMIDINE/PURINE NUCLEOTIDE 5'-MONOPHOSPHATE NUCLEOSIDASE,7,"",""
VC0900,Q9KTK2,,,,
VC0901,Q9KTK1,,,,
VC0902,Q9KTK0,NADPH-DEPENDENT 7-CYANO-7-DEAZAGUANINE REDUCTASE,25,"",""
VC0903,Q9KTJ9,,,,
VC0904,Q9KTJ8,,,,
VC0905,Q9KTJ7,D-METHIONINE-BINDING LIPOPROTEIN METQ-RELATED,12,"",""
VC0906,Q9KTJ6,SUBFAMILY NOT NAMED,21,"",""
VC0907,Q9KTJ5,METHIONINE IMPORT ATP-BINDING PROTEIN METN,13,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0908,Q9KTJ4,"D-GLYCERO-BETA-D-MANNO-HEPTOSE-1,7-BISPHOSPHATE 7-PHOSPHATASE",23,catalytic activity,GO:0003824
VC0909,Q9KTJ3,HTH-TYPE TRANSCRIPTIONAL REGULATOR TRER,4,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VC0910,Q9KTJ2,PTS SYSTEM TREHALOSE-SPECIFIC EIIBC COMPONENT,9,"active transmembrane transporter activity;carbohydrate transmembrane transporter activity;phosphotransferase activity, alcohol group as acceptor",GO:0022804;GO:0015144;GO:0016773
VC0911,Q9KTJ1,NEUTRAL AND BASIC AMINO ACID TRANSPORT PROTEIN RBAT,90,hydrolase activity,GO:0016787
VC0912,Q9KTJ0,,,,
VC0913,Q9KTI9,SUBFAMILY NOT NAMED,2,drug transmembrane transporter activity;efflux transmembrane transporter activity,GO:0015238;GO:0015562
VC0914,Q9KTI8,SUBFAMILY NOT NAMED,2,"",""
VC0915,Q9KTI7,,,,
VC0916,Q9KTI6,,,,
VC0917,Q9KTI5,UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE,20,DNA binding;DNA-binding transcription factor activity;carbohydrate kinase activity,GO:0003677;GO:0003700;GO:0019200
VC0918,Q9KTI4,UDP-N-ACETYL-D-MANNOSAMINE DEHYDROGENASE,18,"",""
VC0919,Q9KTI3,SUBFAMILY NOT NAMED,5,"",""
VC0920,Q9KTI2,SUBFAMILY NOT NAMED,4,"transferase activity, transferring glycosyl groups",GO:0016757
VC0921,Q9KTI1,SUBFAMILY NOT NAMED,4,"",""
VC0922,Q9KTI0,,,,
VC0923,Q9KTH9,,,,
VC0924,Q9KTH8,SUBFAMILY NOT NAMED,11,"",""
VC0925,Q9KTH7,SUBFAMILY NOT NAMED,65,"transferase activity, transferring glycosyl groups",GO:0016757
VC0926,Q9KTH6,,,,
VC0927,Q9KTH5,UDP-N-ACETYL-D-MANNOSAMINURONIC ACID TRANSFERASE,24,"transferase activity, transferring hexosyl groups",GO:0016758
VC0928,Q9KTH4,,,,
VC0929,Q9KTH3,,,,
VC0930,Q9KTH2,,,,
VC0931,Q9KTH1,SUBFAMILY NOT NAMED,22,"",""
VC0932,Q9KTH0,,,,
VC0933,Q9KTG9,,,,
VC0934,Q9KTG8,UDP-GLUCOSE:UNDECAPRENYL-PHOSPHATE GLUCOSE-1-PHOSPHATE TRANSFERASE,8,"transferase activity, transferring phosphorus-containing groups",GO:0016772
VC0935,Q9KTG7,,,,
VC0936,Q9KTG6,POLYSACCHARIDE EXPORT PROTEIN GFCE-RELATED,38,"",""
VC0937,Q9KTG5,FERRIC ENTEROBACTIN TRANSPORT PROTEIN FEPE,50,"",""
VC0938,Q9KTG4,,,,
VC0939,Q9KTG3,,,,
VC0940,Q9KTG2,SUBFAMILY NOT NAMED,17,"",""
VC0941,Q9KTG1,SERINE HYDROXYMETHYLTRANSFERASE,15,"amino acid binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;transferase activity, transferring one-carbon groups;zinc ion binding",GO:0016597;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0016741;GO:0008270
VC0942,Q9KTG0,,,,
VC0943,Q9KTF9,"LIPOYL SYNTHASE, CHLOROPLASTIC",68,transferase activity,GO:0016740
VC0944,Q9KTF8,OCTANOYLTRANSFERASE,10,"transferase activity, transferring acyl groups other than amino-acyl groups",GO:0016747
VC0945,Q9KTF7,UPF0250 PROTEIN YBED,9,"",""
VC0946,Q9KTF6,,,,
VC0947,Q9KTF5,,,,
VC0948,Q9KTF4,ENDOLYTIC PEPTIDOGLYCAN TRANSGLYCOSYLASE RLPA,18,"",""
VC0949,Q9KTF3,PEPTIDOGLYCAN GLYCOSYLTRANSFERASE MRDB,35,carbohydrate derivative transmembrane transporter activity,GO:1901505
VC0950,Q9KTF2,"PEPTIDOGLYCAN D,D-TRANSPEPTIDASE MRDA",35,"amide binding;carboxylic acid binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;peptidase activity, acting on L-amino acid peptides;serine hydrolase activity",GO:0033218;GO:0031406;GO:0008144;GO:1901363;GO:0097159;GO:0070011;GO:0017171
VC0951,Q9KTF1,METHYLTRANSFERASE,61,"",""
VC0952,Q9KTF0,MITOCHONDRIAL ASSEMBLY OF RIBOSOMAL LARGE SUBUNIT PROTEIN 1,113,ribonucleoprotein complex binding,GO:0043021
VC0953,Q9KTE9,DNA POLYMERASE III SUBUNIT DELTA,34,"",""
VC0954,Q9KTE8,LPS-ASSEMBLY LIPOPROTEIN LPTE,11,"",""
VC0955,Q9KTE7,,,,
VC0956,Q9KTE6,"LEUCINE--TRNA LIGASE, MITOCHONDRIAL",99,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0957,Q9KTE5,,,,
VC0958,Q9KTE4,APOLIPOPROTEIN N-ACYLTRANSFERASE,18,"",""
VC0959,Q9KTE3,MAGNESIUM AND COBALT EFFLUX PROTEIN CORC,18,"",""
VC0960,Q9KTE2,,,,
VC0961,Q9KTE1,PHOH-LIKE PROTEIN,30,"",""
VC0962,Q9KTE0,TRNA-2-METHYLTHIO-N(6)-DIMETHYLALLYLADENOSINE SYNTHASE,34,"",""
VC0963,Q9KTD9,"2-OCTAPRENYL-3-METHYL-6-METHOXY-1,4-BENZOQUINOL HYDROXYLASE",6,oxidoreductase activity,GO:0016491
VC0964,Q9KTD8,PTS SYSTEM GLUCOSE-SPECIFIC EIIA COMPONENT,16,kinase activity,GO:0016301
VC0965,Q9KTD7,PHOSPHOENOLPYRUVATE-PROTEIN PHOSPHOTRANSFERASE,21,"",""
VC0966,Q9KTD6,PHOSPHOCARRIER PROTEIN HPR,10,"",""
VC0967,Q9KTD5,,,,
VC0968,Q9KTD4,CYSTEINE SYNTHASE A,64,anion binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;small molecule binding,GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0036094
VC0969,Q9KTD3,SULFATE TRANSPORTER CYSZ,10,inorganic anion transmembrane transporter activity;solute:proton symporter activity,GO:0015103;GO:0015295
VC0970,Q9KTD2,CELL DIVISION PROTEIN ZIPA,9,"",""
VC0971,Q9KTD1,BRCT DOMAIN-CONTAINING PROTEIN,42,"",""
VC0972,Q9KTD0,,,,
VC0973,Q9KTC9,,,,
VC0974,P0C6D2,HTH-TYPE TRANSCRIPTIONAL REGULATOR CUER,4,"",""
VC0975,Q9KTC7,INNER MEMBRANE PROTEIN YBBJ,30,"",""
VC0976,Q9KTC6,"STOMATIN-LIKE PROTEIN 2, MITOCHONDRIAL",151,structural molecule activity,GO:0005198
VC0977,Q9KTC5,"THIOREDOXIN, MITOCHONDRIAL",91,oxidoreductase activity,GO:0016491
VC0978,Q9KTC4,,,,
VC0979,Q9KTC3,SUBFAMILY NOT NAMED,19,"",""
VC0981,Q9KTC2,PHOSPHODIESTERASE YFCE,8,"",""
VC0982,Q9KTC1,SUBFAMILY NOT NAMED,2,"",""
VC0983,P24003,,,,
VC0984,P15795,,,,
VC0985,P22359,ENDOPLASMIN,130,"",""
VC0986,Q9KTB7,ADENYLATE KINASE 8,117,kinase activity,GO:0016301
VC0987,Q9KTB6,"FERROCHELATASE, MITOCHONDRIAL",134,lyase activity,GO:0016829
VC0988,Q9KTB5,DIPEPTIDE AND TRIPEPTIDE PERMEASE A,6,dipeptide transmembrane transporter activity;solute:proton symporter activity,GO:0071916;GO:0015295
VC0989,Q9KTB4,,,,
VC0990,Q9KTB3,TRANSCRIPTION ANTITERMINATION PROTEIN RFAH,6,"",""
VC0991,Q9KTB2,ASPARAGINE SYNTHETASE,107,"",""
VC0992,Q9KTB1,CATION/PROTON ANTIPORTER YBAL-RELATED,9,transmembrane transporter activity,GO:0022857
VC0993,Q9KTB0,N-ACETYLGLUCOSAMINE REPRESSOR,4,DNA binding;DNA-binding transcription factor activity;carbohydrate kinase activity,GO:0003677;GO:0003700;GO:0019200
VC0994,O32445,,,,
VC0995,Q9KTA8,PTS SYSTEM N-ACETYLGLUCOSAMINE-SPECIFIC EIICBA COMPONENT,13,"",""
VC0996,Q9KTA7,,,,
VC0997,Q9KTA6,"GLUTAMATE--TRNA LIGASE, CYTOPLASMIC",96,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0998,Q9KTA5,,,,
VC0999,Q9KTA4,TRNA PSEUDOURIDINE SYNTHASE,86,intramolecular transferase activity,GO:0016866
VC1000,Q9KTA3,"ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE SUBUNIT BETA, CHLOROPLASTIC",63,"",""
VC1001,Q9KTA2,DIHYDROFOLATE SYNTHETASE-RELATED,94,ligase activity,GO:0016874
VC1002,Q9KTA1,CELL DIVISION PROTEIN DEDD,9,glycosaminoglycan binding,GO:0005539
VC1003,Q9KTA0,COLICIN V PRODUCTION PROTEIN,12,"",""
VC1004,Q9KT99,AMIDOPHOSPHORIBOSYLTRANSFERASE,115,transferase activity,GO:0016740
VC1005,Q9KT98,SUBFAMILY NOT NAMED,10,"",""
VC1006,Q9KT97,RIBONUCLEASE T,9,3'-5' exonuclease activity,GO:0008408
VC1007,Q9KT96,,,,
VC1008,Q9KT95,SUBFAMILY NOT NAMED,2,"",""
VC1009,Q9KT94,,,,
VC1010,Q9KT93,LACTOYLGLUTATHIONE LYASE,54,"hydrolase activity, acting on ester bonds;lyase activity",GO:0016788;GO:0016829
VC1011,Q9KT92,ENDONUCLEASE III,35,"catalytic activity, acting on DNA;hydrolase activity",GO:0140097;GO:0016787
VC1012,Q9KT91,ION-TRANSLOCATING OXIDOREDUCTASE COMPLEX SUBUNIT E,13,"",""
VC1013,Q9KT90,ION-TRANSLOCATING OXIDOREDUCTASE COMPLEX SUBUNIT G,14,"",""
VC1014,Q9KT89,ION-TRANSLOCATING OXIDOREDUCTASE COMPLEX SUBUNIT D,14,"",""
VC1015,Q9KT88,ION-TRANSLOCATING OXIDOREDUCTASE COMPLEX SUBUNIT C,19,"",""
VC1016,Q9KT87,ION-TRANSLOCATING OXIDOREDUCTASE COMPLEX SUBUNIT B,9,"",""
VC1017,Q9KT86,ION-TRANSLOCATING OXIDOREDUCTASE COMPLEX SUBUNIT A,13,oxidoreductase activity,GO:0016491
VC1020,Q9KT85,,,,
VC1021,Q9KT84,,,,
VC1022,Q9KT83,,,,
VC1023,Q9KT82,GLUCONEOGENESIS FACTOR-RELATED,21,catalytic activity,GO:0003824
VC1024,Q9KT81,"GTP 3',8-CYCLASE",23,"",""
VC1025,Q9KT80,MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN B,22,"",""
VC1026,Q9KT79,,,,
VC1027,Q9KT78,MOLYBDOPTERIN SYNTHASE SULFUR CARRIER SUBUNIT,76,"",""
VC1028,Q9KT77,MOLYBDOPTERIN SYNTHASE CATALYTIC SUBUNIT,124,adenylyltransferase activity,GO:0070566
VC1029,Q9KT76,,,,
VC1030,Q9KT75,,,,
VC1031,Q9KT74,SUBFAMILY NOT NAMED,3,"",""
VC1032,Q9KT73,,,,
VC1033,Q9KT72,ZINC/CADMIUM/LEAD-TRANSPORTING P-TYPE ATPASE,31,metal ion transmembrane transporter activity,GO:0046873
VC1034,Q9KT71,URIDINE PHOSPHORYLASE,7,"transferase activity, transferring glycosyl groups",GO:0016757
VC1035,Q9KT70,,,,
VC1036,Q9KT69,"METHIONINE--TRNA LIGASE, CYTOPLASMIC",141,"",""
VC1037,Q9KT68,IRON-SULFUR PROTEIN NUBPL,118,cofactor binding,GO:0048037
VC1038,Q9KT67,,,,
VC1039,Q9KT66,PROTEIN ASMA,8,"",""
VC1040,Q9KT65,"COB(I)YRINIC ACID A,C-DIAMIDE ADENOSYLTRANSFERASE",30,"",""
VC1041,Q9KT64,,,,
VC1042,Q9KT63,SUBFAMILY NOT NAMED,14,channel activity;lipid transporter activity;monocarboxylic acid transmembrane transporter activity,GO:0015267;GO:0005319;GO:0008028
VC1043,Q9KT62,SUBFAMILY NOT NAMED,2,channel activity;lipid transporter activity;monocarboxylic acid transmembrane transporter activity,GO:0015267;GO:0005319;GO:0008028
VC1044,Q9KT61,,,,
VC1045,Q9KT60,SUBFAMILY NOT NAMED,2,"",""
VC1046,Q9KT59,"TRIFUNCTIONAL ENZYME SUBUNIT BETA, MITOCHONDRIAL",46,"acetyltransferase activity;ligase activity, forming carbon-sulfur bonds",GO:0016407;GO:0016877
VC1047,Q9KT58,"TRIFUNCTIONAL ENZYME SUBUNIT ALPHA, MITOCHONDRIAL",63,"hydro-lyase activity;ligase activity, forming carbon-sulfur bonds;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016836;GO:0016877;GO:0016616
VC1048,Q9KT57,NAD(P)H NITROREDUCTASE YDJA-RELATED,14,"",""
VC1049,Q9KT56,SUBFAMILY NOT NAMED,10,DNA-binding transcription factor activity;sequence-specific DNA binding,GO:0003700;GO:0043565
VC1050,Q9KT55,,,,
VC1051,Q9KT54,,,,
VC1052,Q9KT53,INNER MEMBRANE PROTEIN YBAN,15,"",""
VC1053,Q9KT52,ADENINE PHOSPHORIBOSYLTRANSFERASE,72,"anion binding;cation binding;drug binding;purine ribonucleotide binding;transferase activity, transferring pentosyl groups",GO:0043168;GO:0043169;GO:0008144;GO:0032555;GO:0016763
VC1054,Q9KT51,PROTEIN STICHEL,78,"",""
VC1055,Q9KT50,NUCLEOID-ASSOCIATED PROTEIN YBAB,71,DNA binding,GO:0003677
VC1056,Q9KT49,RECOMBINATION PROTEIN RECR,34,"",""
VC1057,Q9KT48,UPF0153 PROTEIN YEIW,11,"",""
VC1058,Q9KT47,UPF0260 PROTEIN YCGN,9,"",""
VC1059,Q9KT46,SUBFAMILY NOT NAMED,6,oxidoreductase activity,GO:0016491
VC1060,Q9KT45,PROTEASE SOHB-RELATED,13,"",""
VC1061,Q9KT44,SUBFAMILY NOT NAMED,8,anion binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;small molecule binding,GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0036094
VC1062,Q9KT43,DNA-BINDING TRANSCRIPTIONAL ACTIVATOR DECR,7,sequence-specific DNA binding,GO:0043565
VC1063,Q9KT42,ACYL-COENZYME A THIOESTERASE 8,108,"hydrolase activity, acting on ester bonds",GO:0016788
VC1064,Q9KT41,SUBFAMILY NOT NAMED,8,"",""
VC1065,Q9KT40,DNA BASE-FLIPPING PROTEIN,27,methyltransferase activity,GO:0008168
VC1066,Q9KT39,,,,
VC1067,Q9KT38,,,,
VC1068,Q9KT37,ARSENICAL RESISTANCE OPERON REPRESSOR,38,transcription regulatory region DNA binding,GO:0044212
VC1069,Q9KT36,SUBFAMILY NOT NAMED,6,oxidoreductase activity,GO:0016491
VC1070,Q9KT35,,,,
VC1071,Q9KT34,SUBFAMILY NOT NAMED,6,"",""
VC1072,Q9KT33,,,,
VC1073,Q9KT32,,,,
VC1074,Q9KT31,SUBFAMILY NOT NAMED,14,"",""
VC1075,Q9KT30,PEBP (PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN) FAMILY PROTEIN,44,"",""
